,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
1,nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack,archive_footage","tt0037382,tt0075213,tt0117057,tt0038355"
7,nm0000008,Marlon Brando,1924,2004,"actor,director,writer","tt0078788,tt0068646,tt0047296,tt0070849"
24,nm0000025,Jerry Goldsmith,1929,2004,"music_department,composer,miscellaneous","tt0119488,tt0077269,tt0117731,tt0112715"
31,nm0000032,Charlton Heston,1923,2008,"actor,director,writer","tt0052618,tt0049833,tt0067525,tt0063442"
34,nm0000035,James Horner,1953,2015,"music_department,composer,actor","tt0120338,tt0499549,tt0177971,tt0120746"
39,nm0000040,Stanley Kubrick,1928,1999,"director,writer,producer","tt0062622,tt0072684,tt0066921,tt0093058"
52,nm0000053,Robert Mitchum,1917,1997,"actor,producer,writer","tt0039689,tt0048424,tt0056197,tt0050356"
55,nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0054997,tt0257044,tt0084855,tt0110684"
83,nm0000084,Gong Li,1965,\N,"actress,producer,miscellaneous","tt0473444,tt0397535,tt0101640,tt4566758"
89,nm0000090,Armin Mueller-Stahl,1930,\N,"actor,director,writer","tt0765443,tt0117631,tt0963178,tt0139809"
92,nm0000093,Brad Pitt,1963,\N,"producer,actor,executive","tt0137523,tt0356910,tt0114746,tt1210166"
94,nm0000095,Woody Allen,1935,\N,"writer,director,actor","tt0075686,tt0079522,tt0118954,tt0091167"
95,nm0000096,Gillian Anderson,1968,\N,"actress,producer,director","tt0106179,tt2294189,tt0455590,tt0442632"
96,nm0000097,Pamela Anderson,1967,\N,"actress,producer,director","tt0115624,tt0306047,tt0426592,tt0893509"
97,nm0000098,Jennifer Aniston,1969,\N,"actress,producer,director","tt0108778,tt3442006,tt1723121,tt0279113"
98,nm0000099,Patricia Arquette,1968,\N,"actress,producer,director","tt1065073,tt0108399,tt0412175,tt0145531"
99,nm0000100,Rowan Atkinson,1955,\N,"actor,writer,producer","tt0274166,tt1634122,tt0110357,tt0118689"
101,nm0000102,Kevin Bacon,1958,\N,"actor,producer,director","tt0087277,tt0164052,tt0361127,tt0327056"
102,nm0000103,Fairuza Balk,1974,\N,"actress,soundtrack,archive_footage","tt0115963,tt0181875,tt0089908,tt0120586"
103,nm0000104,Antonio Banderas,1960,\N,"actor,producer,writer","tt0120746,tt1189073,tt0120657,tt0112851"
105,nm0000106,Drew Barrymore,1975,\N,"producer,actress,director","tt0160127,tt0151738,tt0343660,tt0120631"
106,nm0000107,Kim Basinger,1953,\N,"actress,producer,soundtrack","tt0119488,tt0096895,tt0337921,tt0108525"
107,nm0000108,Luc Besson,1959,\N,"writer,producer,director","tt0119116,tt0110413,tt2872732,tt0100263"
109,nm0000110,Kenneth Branagh,1960,\N,"actor,producer,director","tt0097499,tt0116477,tt0107616,tt3402236"
110,nm0000111,Matthew Broderick,1962,\N,"actor,director,producer","tt0395251,tt0086567,tt0091042,tt0115798"
112,nm0000113,Sandra Bullock,1964,\N,"producer,actress,music_department","tt1041829,tt0212346,tt0111257,tt1454468"
113,nm0000114,Steve Buscemi,1957,\N,"actor,director,producer","tt0116282,tt0162346,tt0105236,tt4686844"
114,nm0000115,Nicolas Cage,1964,\N,"actor,producer,director","tt0119094,tt0113627,tt0117500,tt0435705"
115,nm0000116,James Cameron,1954,\N,"writer,producer,director","tt1630029,tt0499549,tt0090605,tt0103064"
116,nm0000117,Neve Campbell,1973,\N,"actress,producer,writer","tt0117571,tt0120082,tt0134084,tt0120890"
119,nm0000120,Jim Carrey,1962,\N,"actor,writer,producer","tt0109040,tt0338013,tt0110475,tt0315327"
122,nm0000123,George Clooney,1961,\N,"actor,producer,director","tt1124035,tt0465538,tt1193138,tt2177771"
123,nm0000124,Jennifer Connelly,1970,\N,"actress,producer,archive_footage","tt0268978,tt0315983,tt0286716,tt0180093"
124,nm0000125,Sean Connery,1930,2020,"actor,producer,director","tt0117500,tt0055928,tt0094226,tt0091605"
125,nm0000126,Kevin Costner,1955,\N,"actor,producer,director","tt0119925,tt0099348,tt0102798,tt0103855"
126,nm0000127,Wes Craven,1939,2015,"writer,producer,director","tt0087800,tt0117571,tt0111686,tt0105121"
127,nm0000128,Russell Crowe,1964,\N,"actor,producer,director","tt1707386,tt0172495,tt0268978,tt0119488"
128,nm0000129,Tom Cruise,1962,\N,"actor,producer,director","tt0092099,tt0325710,tt0116695,tt0181689"
129,nm0000130,Jamie Lee Curtis,1958,\N,"actress,producer,director","tt1502407,tt6710474,tt0111503,tt0120694"
130,nm0000131,John Cusack,1966,\N,"actor,producer,writer","tt0119229,tt0146882,tt0098258,tt0450385"
131,nm0000132,Claire Danes,1979,\N,"actress,producer,soundtrack","tt0108872,tt1796960,tt0117509,tt0274558"
132,nm0000133,Geena Davis,1956,\N,"actress,producer,writer","tt0103074,tt0116908,tt0104694,tt0091064"
133,nm0000134,Robert De Niro,1943,\N,"actor,producer,director","tt0101540,tt0081398,tt0077416,tt0075314"
135,nm0000136,Johnny Depp,1963,\N,"actor,producer,director","tt0408236,tt0325980,tt0449088,tt0367594"
137,nm0000138,Leonardo DiCaprio,1974,\N,"producer,actor,writer","tt1375666,tt0120338,tt0407887,tt0993846"
138,nm0000139,Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0259711,tt0129387,tt0160127,tt0119738"
139,nm0000140,Michael Douglas,1944,\N,"actor,producer,director","tt0094291,tt1291580,tt0093010,tt0088011"
141,nm0000142,Clint Eastwood,1930,\N,"actor,producer,director","tt0405159,tt1205489,tt0105695,tt0112579"
143,nm0000144,Cary Elwes,1962,\N,"actor,producer,director","tt0387564,tt0093779,tt0107977,tt0119468"
145,nm0000146,Ralph Fiennes,1962,\N,"actor,director,producer","tt0387131,tt2278388,tt0108052,tt1372686"
146,nm0000147,Colin Firth,1960,\N,"actor,producer,writer","tt1315981,tt1504320,tt0243155,tt2802144"
147,nm0000148,Harrison Ford,1942,\N,"actor,writer,producer","tt0082971,tt0106977,tt0076759,tt0090329"
148,nm0000149,Jodie Foster,1962,\N,"actress,producer,director","tt0102926,tt0476964,tt0075314,tt0094608"
149,nm0000150,Michael J. Fox,1961,\N,"actor,producer,miscellaneous","tt0088763,tt0096874,tt0115369,tt0116365"
150,nm0000151,Morgan Freeman,1937,\N,"actor,producer,director","tt0097239,tt0114369,tt0405159,tt0468569"
151,nm0000152,Richard Gere,1949,\N,"actor,producer,music_department","tt0299658,tt0100405,tt0084434,tt0119395"
153,nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0112573,tt0104714,tt0118883,tt0117438"
154,nm0000155,Whoopi Goldberg,1955,\N,"actress,producer,writer","tt0099653,tt0105417,tt0088939,tt0108147"
155,nm0000156,Jeff Goldblum,1952,\N,"actor,producer,writer","tt0107290,tt0091064,tt2278388,tt0116629"
156,nm0000157,Linda Hamilton,1956,\N,"actress,soundtrack,archive_footage","tt0103064,tt6450804,tt0088247,tt0118928"
157,nm0000158,Tom Hanks,1956,\N,"producer,actor,writer","tt0162222,tt0094737,tt0109830,tt1535109"
158,nm0000159,Teri Hatcher,1964,\N,"actress,writer,director","tt0120347,tt0410975,tt0327597,tt0227538"
159,nm0000160,Ethan Hawke,1970,\N,"actor,producer,writer","tt0139654,tt0112471,tt2209418,tt0381681"
160,nm0000161,Salma Hayek,1966,\N,"actress,producer,director","tt0120679,tt0112851,tt1615065,tt0120891"
161,nm0000162,Anne Heche,1969,2022,"actress,producer,writer","tt0120828,tt0119008,tt0120885,tt0120461"
162,nm0000163,Dustin Hoffman,1937,\N,"actor,producer,director","tt0084805,tt0095953,tt0079417,tt0064665"
163,nm0000164,Anthony Hopkins,1937,\N,"actor,composer,producer","tt0102926,tt0113987,tt0975645,tt0412080"
164,nm0000165,Ron Howard,1954,\N,"producer,actor,writer","tt0367279,tt0268978,tt0075213,tt0112384"
165,nm0000166,Helen Hunt,1963,\N,"actress,producer,director","tt0119822,tt0117998,tt0103484,tt0455805"
167,nm0000168,Samuel L. Jackson,1948,\N,"actor,producer,miscellaneous","tt0110912,tt3460252,tt0417148,tt2802144"
168,nm0000169,Tommy Lee Jones,1946,\N,"actor,director,writer","tt0106977,tt0477348,tt2398231,tt0443272"
169,nm0000170,Milla Jovovich,1975,\N,"actress,producer,director","tt0119116,tt1220634,tt0120804,tt1220198"
170,nm0000171,Ashley Judd,1968,\N,"actress,producer,director","tt0150377,tt0470705,tt0119468,tt0113277"
171,nm0000172,Harvey Keitel,1939,\N,"actor,producer,soundtrack","tt0105236,tt0103759,tt2278388,tt0110912"
172,nm0000173,Nicole Kidman,1967,\N,"actress,producer,music_department","tt0203009,tt0274558,tt0159365,tt0935075"
173,nm0000174,Val Kilmer,1959,\N,"actor,producer,director","tt0101761,tt0120053,tt0373469,tt0235737"
174,nm0000175,Stephen King,1947,\N,"writer,producer,actor","tt0091499,tt0083767,tt0111161,tt0324864"
177,nm0000178,Diane Lane,1965,\N,"actress,soundtrack,archive_footage","tt0250797,tt0328589,tt0086066,tt2096673"
178,nm0000179,Jude Law,1972,\N,"actor,producer,director","tt0134119,tt0376541,tt2278388,tt0346156"
183,nm0000184,George Lucas,1944,\N,"writer,producer,director","tt0076759,tt0066434,tt0069704,tt0082971"
185,nm0000186,David Lynch,1946,\N,"writer,director,producer","tt0098936,tt0460829,tt0105665,tt0166924"
189,nm0000190,Matthew McConaughey,1969,\N,"actor,producer,director","tt0816692,tt0790636,tt1935179,tt1915581"
190,nm0000191,Ewan McGregor,1971,\N,"actor,producer,writer","tt0203009,tt0117951,tt1322269,tt2763304"
192,nm0000193,Demi Moore,1962,\N,"actress,producer,director","tt0119173,tt0305357,tt0099653,tt0107211"
193,nm0000194,Julianne Moore,1960,\N,"actress,producer,soundtrack","tt0297884,tt0118749,tt3316960,tt2172584"
194,nm0000195,Bill Murray,1950,\N,"actor,writer,producer","tt0335266,tt0128445,tt1748122,tt0362270"
195,nm0000196,Mike Myers,1963,\N,"actor,writer,producer","tt0295178,tt0145660,tt0118655,tt0811138"
196,nm0000197,Jack Nicholson,1937,\N,"actor,producer,writer","tt0071315,tt0119822,tt0407887,tt0073486"
197,nm0000198,Gary Oldman,1958,\N,"actor,producer,director","tt1340800,tt0468569,tt4555426,tt0103874"
198,nm0000199,Al Pacino,1940,\N,"actor,director,producer","tt0070666,tt0072890,tt0068646,tt0099422"
199,nm0000200,Bill Paxton,1955,2017,"actor,producer,writer","tt0090605,tt0264616,tt0112384,tt0117998"
200,nm0000201,Michelle Pfeiffer,1958,\N,"actress,producer,soundtrack","tt0097322,tt0161081,tt0117247,tt0427327"
203,nm0000204,Natalie Portman,1981,\N,"actress,producer,director","tt0947798,tt0434409,tt0376541,tt0110413"
205,nm0000206,Keanu Reeves,1964,\N,"actor,producer,miscellaneous","tt0133093,tt0111257,tt0102685,tt0234215"
208,nm0000209,Tim Robbins,1958,\N,"actor,producer,director","tt0327056,tt0105151,tt0091225,tt0111161"
209,nm0000210,Julia Roberts,1967,\N,"actress,producer,soundtrack","tt0100405,tt0195685,tt0119738,tt0376541"
212,nm0000213,Winona Ryder,1971,\N,"actress,producer,director","tt0110367,tt0100140,tt0118583,tt0172493"
214,nm0000215,Susan Sarandon,1946,\N,"actress,producer,miscellaneous","tt0103074,tt0112818,tt0120686,tt0109446"
215,nm0000216,Arnold Schwarzenegger,1947,\N,"actor,producer,writer","tt0103064,tt0216216,tt0088247,tt0107362"
216,nm0000217,Martin Scorsese,1942,\N,"producer,director,actor","tt5537002,tt0075314,tt0070379,tt0099685"
222,nm0000223,Elisabeth Shue,1963,\N,"actress,producer,soundtrack","tt0113627,tt0092513,tt0120053,tt0164052"
224,nm0000225,Christian Slater,1969,\N,"actor,producer,director","tt0124198,tt0108399,tt0102798,tt0115759"
225,nm0000226,Will Smith,1968,\N,"producer,actor,writer","tt0098800,tt0119654,tt0480249,tt0116629"
226,nm0000227,Mira Sorvino,1967,\N,"actress,producer,soundtrack","tt0113819,tt0120008,tt0364343,tt0120032"
227,nm0000228,Kevin Spacey,1959,\N,"actor,producer,writer","tt0114814,tt0119488,tt0169547,tt0114369"
228,nm0000229,Steven Spielberg,1946,\N,"producer,writer,director","tt0108052,tt0083866,tt0120815,tt0082971"
229,nm0000230,Sylvester Stallone,1946,\N,"actor,writer,producer","tt0075148,tt0089927,tt3076658,tt0084602"
230,nm0000231,Oliver Stone,1946,\N,"director,producer,writer","tt0102138,tt0091763,tt0096969,tt0110632"
231,nm0000232,Sharon Stone,1958,\N,"actress,producer,miscellaneous","tt0103772,tt0112641,tt0114214,tt0108162"
232,nm0000233,Quentin Tarantino,1963,\N,"writer,producer,actor","tt0105236,tt0110912,tt7131622,tt0116367"
233,nm0000234,Charlize Theron,1975,\N,"producer,actress,costume_designer","tt0340855,tt1392190,tt1735898,tt5610554"
234,nm0000235,Uma Thurman,1970,\N,"actress,producer,writer","tt0266697,tt0378194,tt0110912,tt0118688"
235,nm0000236,Jennifer Tilly,1958,\N,"actress,writer,soundtrack","tt0115736,tt0144120,tt0387575,tt0109348"
236,nm0000237,John Travolta,1954,\N,"actor,producer,music_department","tt0110912,tt0113161,tt0076666,tt0077631"
239,nm0000240,Skeet Ulrich,1970,\N,"actor,director,producer","tt0117571,tt0115963,tt0409572,tt0913354"
241,nm0000242,Mark Wahlberg,1971,\N,"producer,actor,composer","tt0964517,tt0118749,tt0407887,tt1637725"
242,nm0000243,Denzel Washington,1954,\N,"actor,producer,director","tt2671706,tt1037705,tt0139654,tt0168786"
243,nm0000244,Sigourney Weaver,1949,\N,"actress,producer,soundtrack","tt0118583,tt0499549,tt0078748,tt0095243"
244,nm0000245,Robin Williams,1951,2014,"actor,writer,producer","tt0107614,tt0093105,tt0077053,tt0265459"
245,nm0000246,Bruce Willis,1955,\N,"actor,producer,writer","tt0095016,tt0110912,tt0088571,tt0167404"
246,nm0000247,John Woo,1946,\N,"director,producer,writer","tt0092263,tt0425637,tt0104684,tt0119094"
248,nm0000249,James Woods,1947,\N,"actor,producer,director","tt0120877,tt0119282,tt0159097,tt0086541"
249,nm0000250,Renée Zellweger,1969,\N,"actress,producer,writer","tt0299658,tt0159365,tt0116695,tt0243155"
254,nm0000255,Ben Affleck,1972,\N,"producer,actor,writer","tt1024648,tt2267998,tt0840361,tt0119217"
256,nm0000257,Alan Alda,1936,\N,"actor,miscellaneous,writer","tt0068098,tt0082405,tt0097123,tt7653254"
259,nm0000260,Joan Allen,1956,\N,"actress,producer,soundtrack","tt3170832,tt0452608,tt0115988,tt0113987"
263,nm0000264,Pedro Almodóvar,1949,\N,"writer,director,producer","tt0287467,tt0101026,tt1189073,tt0095675"
266,nm0000267,Julie Andrews,1935,\N,"actress,writer,producer","tt0059742,tt0058331,tt0084865,tt0247638"
268,nm0000269,Jean-Jacques Annaud,1943,\N,"director,producer,writer","tt0091605,tt0215750,tt2909116,tt0120102"
269,nm0000270,Gabrielle Anwar,1970,\N,"actress,producer,director","tt0108333,tt0114660,tt0105323,tt0810788"
272,nm0000273,Alan Arkin,1934,2023,"actor,director,writer","tt1024648,tt0449059,tt0104348,tt0099487"
273,nm0000274,David Arquette,1971,\N,"producer,actor,director","tt0134084,tt0151738,tt0120082,tt0271367"
275,nm0000276,Sean Astin,1971,\N,"actor,producer,director","tt0167261,tt0167260,tt0120737,tt0089218"
276,nm0000277,Richard Attenborough,1923,2014,"actor,producer,director","tt0107290,tt0057115,tt0083987,tt0119567"
283,nm0000284,Adam Baldwin,1962,\N,"actor,soundtrack,archive_footage","tt0379786,tt0116629,tt0093058,tt0187393"
284,nm0000285,Alec Baldwin,1958,\N,"actor,producer,music_department","tt0407887,tt1230414,tt0318374,tt0104348"
285,nm0000286,Stephen Baldwin,1966,\N,"actor,producer,director","tt0114814,tt0115683,tt0158622,tt0486583"
287,nm0000288,Christian Bale,1974,\N,"actor,producer,editorial_department","tt0468569,tt0372784,tt1345836,tt0964517"
289,nm0000290,John Barry,1933,2011,"music_department,composer,actor","tt0089755,tt0099348,tt0093428,tt0081534"
290,nm0000291,Angela Bassett,1958,\N,"actress,producer,director","tt0114558,tt1825683,tt9114286,tt0118884"
292,nm0000293,Sean Bean,1959,\N,"actor,producer,animation_department","tt0120737,tt0944947,tt1181791,tt0167261"
294,nm0000295,Kate Beckinsale,1973,\N,"actress,producer,miscellaneous","tt0401855,tt0320691,tt0338526,tt0452702"
296,nm0000297,Tom Berenger,1949,\N,"actor,producer,writer","tt0091763,tt1375666,tt0085244,tt0097815"
298,nm0000299,Michael Biehn,1956,\N,"actor,producer,director","tt0090605,tt0088247,tt0096754,tt0117500"
299,nm0000300,Juliette Binoche,1964,\N,"actress,art_department,miscellaneous","tt0116209,tt2452254,tt1219827,tt1020773"
300,nm0000301,Thora Birch,1982,\N,"actress,producer,director","tt0162346,tt0107120,tt0105112,tt0169547"
305,nm0000306,Brian Blessed,1936,\N,"actor,director,art_department","tt0080745,tt0120915,tt0120855,tt0107616"
306,nm0000307,Helena Bonham Carter,1966,\N,"actress,director,producer","tt0408236,tt1707386,tt0137523,tt1504320"
308,nm0000309,David Bowie,1947,2016,"music_artist,actor,composer","tt0091369,tt0074851,tt0482571,tt0196229"
311,nm0000312,Amy Brenneman,1964,\N,"actress,producer,writer","tt0209069,tt0113277,tt0116287,tt0116040"
312,nm0000313,Jeff Bridges,1949,\N,"actor,producer,art_department","tt0118715,tt1263670,tt0088172,tt1403865"
316,nm0000317,Clancy Brown,1959,\N,"actor,producer,soundtrack","tt0111161,tt0120201,tt1179056,tt2279373"
317,nm0000318,Tim Burton,1958,\N,"producer,miscellaneous,director","tt0099487,tt1142977,tt0121164,tt0408236"
320,nm0000321,Gabriel Byrne,1950,\N,"actor,producer,writer","tt0114814,tt0146675,tt0100150,tt0145531"
322,nm0000323,Michael Caine,1933,\N,"actor,producer,miscellaneous","tt0468569,tt3312830,tt0124315,tt0482571"
328,nm0000329,Jackie Chan,1954,\N,"producer,actor,stunts","tt0127357,tt0120812,tt0089374,tt0266915"
331,nm0000332,Don Cheadle,1964,\N,"actor,producer,director","tt0375679,tt1540133,tt0395169,tt0790770"
333,nm0000334,Chow Yun-Fat,1955,\N,"actor,writer,soundtrack","tt0190332,tt0120008,tt0473444,tt1098327"
334,nm0000335,Glenn Close,1947,\N,"actress,producer,director","tt0093010,tt3750872,tt2015381,tt0094947"
335,nm0000336,James Coburn,1928,2002,"actor,producer,director","tt0057115,tt0054047,tt0056923,tt0074695"
337,nm0000338,Francis Ford Coppola,1939,\N,"producer,director,writer","tt0078788,tt0071360,tt0071562,tt0068646"
340,nm0000341,Michael Crichton,1942,2008,"writer,producer,director","tt0107290,tt0070909,tt0117998,tt0108757"
341,nm0000342,James Cromwell,1940,\N,"actor,producer,soundtrack","tt0119488,tt0120689,tt0144214,tt0117731"
342,nm0000343,David Cronenberg,1943,\N,"actor,director,writer","tt0091064,tt0094964,tt0120907,tt0115964"
344,nm0000345,Billy Crystal,1948,\N,"actor,writer,producer","tt0113097,tt0101587,tt0098635,tt0122933"
345,nm0000346,Macaulay Culkin,1980,\N,"actor,producer,director","tt0099785,tt0102492,tt0107034,tt0104431"
346,nm0000347,Tim Curry,1946,\N,"actor,producer,soundtrack","tt0112715,tt0117110,tt0088930,tt0073629"
348,nm0000349,Joan Cusack,1962,\N,"actress,writer,soundtrack","tt0119360,tt0119229,tt0096463,tt1659337"
349,nm0000350,Beverly D'Angelo,1951,\N,"actress,producer,soundtrack","tt0085995,tt0120434,tt0097958,tt0120586"
351,nm0000352,Vincent D'Onofrio,1959,\N,"actor,producer,director","tt0119654,tt0209958,tt0093058,tt0109707"
352,nm0000353,Willem Dafoe,1955,\N,"actor,producer,writer","tt0145487,tt6938828,tt5649144,tt7984734"
353,nm0000354,Matt Damon,1970,\N,"producer,actor,writer","tt0119217,tt3659388,tt0407887,tt0134119"
354,nm0000355,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt2527336,tt0076759,tt0080684"
357,nm0000358,Daniel Day-Lewis,1957,\N,"actor,music_department,soundtrack","tt0469494,tt0104691,tt0443272,tt5776858"
359,nm0000360,Rebecca De Mornay,1959,\N,"actress,producer,director","tt0104389,tt0089941,tt0086200,tt0396269"
360,nm0000361,Brian De Palma,1940,\N,"director,writer,producer","tt0086984,tt0080661,tt0094226,tt0074285"
361,nm0000362,Danny DeVito,1944,\N,"actor,producer,director","tt0117008,tt0098621,tt0103776,tt0119488"
364,nm0000365,Julie Delpy,1969,\N,"actress,writer,producer","tt0111507,tt0841044,tt0112471,tt0381681"
365,nm0000366,Catherine Deneuve,1943,\N,"actress,producer,talent_agent","tt0283832,tt0061395,tt0168629,tt0059646"
366,nm0000367,Gérard Depardieu,1948,\N,"actor,producer,director","tt0099334,tt0120744,tt0103594,tt0099699"
367,nm0000368,Laura Dern,1967,\N,"actress,producer,writer","tt0107290,tt7653254,tt2305051,tt0090756"
372,nm0000373,Michael Dorn,1952,\N,"actor,director,writer","tt0117731,tt0092455,tt0120844,tt0111280"
374,nm0000375,Robert Downey Jr.,1965,\N,"actor,producer,writer","tt0371746,tt1300854,tt4154796,tt0988045"
377,nm0000378,Minnie Driver,1970,\N,"actress,producer,soundtrack","tt0112679,tt0496343,tt0119217,tt5592146"
378,nm0000379,Kirsten Dunst,1982,\N,"actress,producer,director","tt0145487,tt1527186,tt0110148,tt0338013"
379,nm0000380,Robert Duvall,1931,\N,"actor,producer,director","tt0118632,tt0086423,tt1872194,tt0316356"
380,nm0000381,Anthony Edwards,1962,\N,"actor,producer,director","tt0108757,tt0092099,tt0443706,tt0088000"
382,nm0000383,Jennifer Ehle,1969,\N,"actress,archive_footage","tt1790885,tt2392830,tt4919484,tt0112130"
383,nm0000384,Danny Elfman,1953,\N,"music_department,composer,actor","tt0107688,tt0367594,tt0121164,tt0119654"
384,nm0000385,Sam Elliott,1944,\N,"actor,producer,writer","tt1517451,tt5655222,tt0286716,tt0098206"
387,nm0000388,R. Lee Ermey,1944,2018,"actor,miscellaneous,producer","tt0093058,tt0114369,tt0324216,tt0095647"
397,nm0000398,Sally Field,1946,\N,"actress,producer,director","tt0109830,tt0443272,tt0098384,tt0076729"
398,nm0000399,David Fincher,1962,\N,"producer,director,writer","tt0114369,tt0443706,tt2267998,tt1285016"
400,nm0000401,Laurence Fishburne,1961,\N,"actor,producer,director","tt0133093,tt0234215,tt1598778,tt0327056"
401,nm0000402,Carrie Fisher,1956,2016,"actress,miscellaneous,writer","tt0076759,tt2527336,tt0080684,tt0086190"
402,nm0000403,Bridget Fonda,1964,\N,"actress,soundtrack,archive_footage","tt0120324,tt0107843,tt0105414,tt0139414"
406,nm0000407,Vivica A. Fox,1964,\N,"actress,producer,director","tt0116629,tt0266697,tt0373474,tt0118688"
407,nm0000408,Jonathan Frakes,1952,\N,"actor,director,producer","tt0117731,tt0120844,tt0111280,tt0253754"
408,nm0000409,Brendan Fraser,1968,\N,"actor,producer,art_department","tt0120616,tt0375679,tt0209163,tt13833688"
409,nm0000410,Stephen Fry,1957,\N,"actor,writer,producer","tt0280707,tt0434409,tt0120514,tt0371724"
410,nm0000411,Edward Furlong,1977,\N,"actor,producer,soundtrack","tt0103064,tt0165710,tt0120586,tt0990407"
411,nm0000412,Andy Garcia,1956,\N,"actor,producer,director","tt0240772,tt0099674,tt0349903,tt0343996"
412,nm0000413,Janeane Garofalo,1964,\N,"actress,writer,producer","tt0132347,tt0382932,tt0117979,tt0243655"
415,nm0000416,Terry Gilliam,1940,\N,"director,writer,actor","tt0088846,tt0071853,tt0081633,tt1054606"
416,nm0000417,Crispin Glover,\N,\N,"actor,director,writer","tt0118141,tt0310357,tt0091860,tt1898069"
417,nm0000418,Danny Glover,1946,\N,"actor,producer,director","tt0093409,tt0122151,tt0097733,tt1190080"
419,nm0000420,Valeria Golino,1965,\N,"actress,director,producer","tt0095953,tt0102059,tt8613070,tt0107144"
420,nm0000421,Cuba Gooding Jr.,1968,\N,"actor,writer,producer","tt0116695,tt0316465,tt0203019,tt0114069"
421,nm0000422,John Goodman,1952,\N,"actor,producer,soundtrack","tt1179933,tt0101410,tt1024648,tt1907668"
423,nm0000424,Hugh Grant,1960,\N,"actor,soundtrack,archive_footage","tt0314331,tt0276751,tt0109831,tt0125439"
426,nm0000427,Pam Grier,1949,\N,"actress,writer,soundtrack","tt0119396,tt0228333,tt0069897,tt0071517"
430,nm0000431,Taylor Hackford,1944,\N,"producer,director,writer","tt0350258,tt0106469,tt0109642,tt0084434"
431,nm0000432,Gene Hackman,1930,\N,"actor,producer,stunts","tt0067116,tt0095647,tt0265666,tt0105695"
433,nm0000434,Mark Hamill,\N,\N,"actor,producer,director","tt0076759,tt2527336,tt0080684,tt0086190"
434,nm0000435,Daryl Hannah,1960,\N,"actress,producer,director","tt0094291,tt0378194,tt0088161,tt0083658"
435,nm0000436,Curtis Hanson,1945,2016,"director,producer,writer","tt0119488,tt0388125,tt0104389,tt0298203"
436,nm0000437,Woody Harrelson,1961,\N,"actor,producer,director","tt2356777,tt0117318,tt0110632,tt5027774"
437,nm0000438,Ed Harris,1950,\N,"actor,producer,director","tt0800308,tt0183659,tt0120382,tt0112384"
438,nm0000439,Neil Patrick Harris,1973,\N,"actor,producer,writer","tt0460649,tt4834206,tt2267998,tt0120201"
441,nm0000442,Rutger Hauer,1944,2019,"actor,producer,director","tt1640459,tt0083658,tt0091209,tt0401792"
444,nm0000445,Dan Hedaya,1940,\N,"actor,soundtrack,archive_footage","tt0114814,tt0112697,tt0166924,tt0088944"
447,nm0000448,Lance Henriksen,1940,\N,"actor,producer,miscellaneous","tt0090605,tt0107076,tt0370263,tt0114214"
449,nm0000450,Philip Seymour Hoffman,1967,2014,"actor,producer,director","tt1560747,tt0379725,tt0292963,tt0181875"
452,nm0000453,Ian Holm,1931,2020,"actor,animation_department,miscellaneous","tt0167260,tt0120737,tt0088846,tt0382932"
453,nm0000454,Dennis Hopper,1936,2010,"actor,director,writer","tt0064276,tt0090756,tt0111257,tt0114898"
454,nm0000455,John Hughes,1950,2009,"writer,producer,director","tt0093748,tt0090305,tt0088847,tt0098554"
455,nm0000456,Holly Hunter,1958,\N,"actress,producer,miscellaneous","tt0092699,tt0107822,tt0328538,tt5462602"
456,nm0000457,John Hurt,1940,2017,"actor,soundtrack,archive_footage","tt0087803,tt0078748,tt0080678,tt0077928"
457,nm0000458,William Hurt,1950,2022,"actor,producer,archive_footage","tt0399146,tt0120738,tt0092699,tt0080360"
459,nm0000460,Jeremy Irons,1948,\N,"actor,producer,director","tt0094964,tt0110357,tt2094766,tt2975590"
460,nm0000461,Michael Ironside,1950,\N,"actor,producer,writer","tt0120201,tt0100802,tt0081455,tt0092099"
462,nm0000463,Famke Janssen,1964,\N,"actress,writer,producer","tt0376994,tt0113189,tt0120903,tt0185371"
463,nm0000464,Jim Jarmusch,1953,\N,"director,writer,actor","tt5247022,tt0412019,tt0088184,tt1714915"
465,nm0000466,Jean-Pierre Jeunet,1953,\N,"director,writer,producer","tt0344510,tt0211915,tt0101700,tt0112682"
466,nm0000467,Don Johnson,1949,\N,"actor,producer,director","tt0086759,tt0072730,tt1853728,tt8946378"
468,nm0000469,James Earl Jones,1931,\N,"actor,soundtrack,archive_footage","tt3748528,tt6105098,tt0097351,tt0099810"
469,nm0000470,Jeffrey Jones,1946,\N,"actor,miscellaneous,soundtrack","tt0086879,tt0091225,tt0091042,tt0109707"
472,nm0000473,Diane Keaton,1946,\N,"actress,producer,director","tt0075686,tt0337741,tt0356680,tt0082979"
473,nm0000474,Michael Keaton,1951,\N,"actor,miscellaneous,producer","tt2562232,tt1895587,tt4276820,tt0096895"
475,nm0000476,Sally Kirkland,1941,\N,"actress,producer,miscellaneous","tt0092569,tt0102138,tt3216866,tt0070735"
