,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
1093012,nm1018521,Benjamin Millepied,1977,\N,"director,miscellaneous,producer","tt0947798,tt6875952,tt15239678,tt4779104"
1098638,nm1019121,Anand S. Vardhan,\N,\N,"writer,director","tt0242519,tt20252972,tt0319020,tt1138700"
1100926,nm1019368,Chris Mills,\N,\N,director,tt4330758
1101940,nm1019477,Jeeva,1963,2007,"cinematographer,director,writer","tt0242519,tt1388434,tt0458184,tt0375514"
1103788,nm1019674,Sala Baker,1976,\N,"actor,stunts,producer","tt1136617,tt20024428,tt11092020,tt8111088"
1104486,nm1019748,Saurabh Dubey,\N,\N,"actor,archive_footage","tt0319736,tt0374271,tt0432047,tt0111068"
1107528,nm10200744,Julie Oh,\N,\N,"producer,miscellaneous","tt8721424,tt6663582"
1107672,nm1020089,Sally Hawkins,1976,\N,"actress,writer,producer","tt5580390,tt1045670,tt2334873,tt3721954"
1108390,nm10201625,Kawsar Al Haddad,\N,\N,actress,tt8267604
1108391,nm10201626,Cedra Izzam,\N,\N,actress,tt8267604
1108392,nm10201627,Alaa Chouchnieh,\N,\N,actor,tt8267604
1109448,nm10202855,Ronit Kamra,2010,\N,actor,"tt5301942,tt8948790,tt11024580"
1109931,nm1020335,N. Gopalakrishnan,\N,\N,"editor,editorial_department","tt0242519,tt0995031,tt0120456,tt0106986"
1110222,nm10203648,Sanket Deshpande,\N,\N,actor,tt7485048
1119494,nm1021349,Kumar Dave,\N,\N,"actor,writer,assistant_director","tt0169102,tt0491724,tt0121989,tt0172980"
1119537,nm1021353,Sanjay Dayma,\N,\N,"writer,director,assistant_director","tt0169102,tt0476848"
1121150,nm1021531,Nigel Godrich,\N,\N,"music_department,producer,director","tt0446029,tt3890160,tt0405296,tt0838247"
1121721,nm1021592,J.J. Harris,1951,2013,producer,"tt0451094,tt1654832,tt1482450,tt0888693"
1124590,nm10219083,Karate Venkatesan,\N,\N,actor,tt8176054
1125436,nm1022001,Trent Opaloch,\N,\N,"cinematographer,actor,camera_department","tt1136608,tt1843866,tt4154796,tt1535108"
1126765,nm1022139,Ballu Saluja,\N,\N,"editor,editorial_department,producer","tt0169102,tt5074352,tt10195210,tt0449994"
1126907,nm1022153,K.P. Saxena,\N,\N,writer,"tt0169102,tt0367110,tt0449994,tt0437238"
1127182,nm1022182,Shashi Sharma,\N,\N,"actress,costume_department","tt1639426,tt0211934,tt0119861,tt0338477"
1132667,nm10227660,Celine Song,1988,\N,"writer,director,producer","tt13238346,tt7462410,tt0991344"
1133840,nm1022891,Keir Mills,\N,\N,actor,"tt0365748,tt0280330,tt1090646,tt0468515"
1134541,nm1022968,Herbert Ulrich,1971,\N,"actor,archive_footage","tt0260991,tt0108979,tt0103434,tt1111847"
1136725,nm1023204,Ben Davis,1961,\N,"cinematographer,camera_department,producer","tt5027774,tt11813216,tt2015381,tt4154664"
1140812,nm10236476,Saravanan,\N,\N,actor,"tt7060344,tt10133300,tt12953750,tt15341044"
1145098,nm1024101,Priyanshu Chatterjee,1973,\N,actor,"tt23849204,tt0290326,tt0348521,tt0991346"
1147643,nm1024390,Javier Godino,1978,\N,"actor,soundtrack","tt1305806,tt8406738,tt1879016,tt7599146"
1147664,nm1024392,Christian M. Goldbeck,\N,\N,"production_designer,art_department,art_director","tt1016150,tt0976051,tt0454931,tt0408777"
1148570,nm1024487,Teun Hilte,\N,\N,producer,"tt0389557,tt4463816,tt0308407,tt0382365"
1150384,nm1024677,John Krasinski,1979,\N,"actor,producer,director","tt5057054,tt6644200,tt0386676,tt8332922"
1150462,nm1024685,Bhushan Kumar,1977,\N,"producer,music_department,miscellaneous","tt8983202,tt5764096,tt8108274,tt7212754"
1152250,nm10248732,Chelsea Lee,\N,\N,actress,"tt5363618,tt10622430,tt14570816"
1153022,nm1024953,Terry Notary,1968,\N,"miscellaneous,stunts,actor","tt3731562,tt1318514,tt0499549,tt2310332"
1154546,nm10251235,Grace Antony,1997,\N,"actress,director,writer","tt8413338,tt28275864,tt11112338,tt19886242"
1156039,nm1025280,Anubhav Sinha,1965,\N,"director,writer,producer","tt10324144,tt7618184,tt10964430,tt1562871"
1165907,nm10263413,Brandon Stanley,\N,\N,actor,"tt15257160,tt3513548,tt10857160,tt13624900"
1168188,nm1026592,Julian Clarke,1977,\N,"editor,editorial_department,writer","tt1136608,tt1431045,tt1535108,tt1823672"
1170458,nm1026832,Jayme Roy,\N,\N,"camera_department,sound_department,cinematographer","tt5359830,tt27733069,tt0896781,tt0162360"
1171059,nm10268969,Taso Okropiridze,\N,\N,"casting_department,casting_director","tt9263550,tt9135260,tt1486193,tt6613470"
1172874,nm1027089,Reiko Yoshida,\N,\N,"writer,miscellaneous,script_department","tt5323662,tt0347618,tt6900184,tt1826538"
1175264,nm10273643,Madhav Hari Joshi,\N,\N,actor,tt8239946
1176219,nm10274701,Medusa Knopf,\N,\N,actress,"tt7160372,tt0108977,tt9328036"
1178097,nm1027678,Michael Adamthwaite,1981,\N,"actor,archive_footage","tt3450958,tt0351977,tt3691740,tt1528071"
1178519,nm1027719,Farhan Akhtar,1974,\N,"producer,writer,art_director","tt1562872,tt0292490,tt0461936,tt2356180"
1182245,nm1028114,Pankaj Berry,1932,\N,actor,"tt7401524,tt0391187,tt0440604,tt4068286"
1182543,nm10281577,Koyoharu Gotouge,\N,\N,writer,"tt11032374,tt9335498,tt11996540,tt26537229"
1182986,nm1028202,Sebastian Blenkov,1972,\N,"cinematographer,camera_department","tt4540710,tt1661275,tt0418455,tt2717860"
1186202,nm10285613,Atul Singh Verma,\N,\N,actor,"tt10295212,tt1954206,tt4621100,tt9343668"
1186380,nm1028580,Cha Tae-hyun,1976,\N,"actor,director,soundtrack","tt0293715,tt1233461,tt8969998,tt1360795"
1187874,nm1028753,Ed Côrtes,\N,\N,"composer,music_department,actor","tt0317248,tt11394318,tt5140248,tt5379294"
1188633,nm1028832,Renzil D'Silva,\N,\N,"writer,director,producer","tt0405508,tt1185442,tt2792284,tt2172071"
1193422,nm10293473,Ali Tabrizi,\N,\N,"director,cinematographer,camera_department","tt14152756,tt28456341,tt9355184"
1200452,nm1030088,Bill Hodnett,\N,\N,actor,"tt0907657,tt0221559,tt0374018,tt0296307"
1201966,nm1030244,Chukwudi Iwuji,1975,\N,"actor,writer","tt5296406,tt7137906,tt4425200,tt7631146"
1202520,nm1030307,Poonam Jhawer,1978,\N,"actress,music_department,producer","tt2283748,tt0110546,tt0389726,tt4965836"
1202625,nm1030318,Jogi Mallang,\N,\N,"casting_director,actor,casting_department","tt8178634,tt1849718,tt10295212,tt7098658"
1202979,nm10303601,Aza Raskin,\N,\N,miscellaneous,"tt11464826,tt8560884,tt11805062"
1203102,nm1030373,Reema Kagti,\N,\N,"writer,producer,director","tt1562872,tt1787988,tt2395469,tt19868314"
1204300,nm1030498,Najeeb Khan,\N,\N,"cinematographer,camera_department,editor","tt0284137,tt15441054,tt0076167,tt0104561"
